"Bevolking op de eerste van de maand; geslacht, leeftijd, herkomstland"
"Geboorteland ouders: Totaal"
"Onderwerp: |Bevolking op de eerste van de maand"
"Perioden: 2023 januari"
"Geboorteland: Totaal"
"";""
"Leeftijd";"Geslacht";"Herkomstland";"aantal"
"100 jaar";"Totaal mannen en vrouwen";"Nederland";"1040"
"100 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"57"
"100 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"64"
"100 jaar";"Mannen";"Totaal";"196"
"100 jaar";"Mannen";"Nederland";"174"
"100 jaar";"Mannen";"Europa (exclusief Nederland)";"7"
"100 jaar";"Mannen";"Buiten Europa";"15"
"100 jaar";"Vrouwen";"Totaal";"965"
"100 jaar";"Vrouwen";"Nederland";"866"
"100 jaar";"Vrouwen";"Europa (exclusief Nederland)";"50"
"100 jaar";"Vrouwen";"Buiten Europa";"49"
"101 jaar";"Totaal mannen en vrouwen";"Totaal";"633"
"101 jaar";"Totaal mannen en vrouwen";"Nederland";"573"
"101 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"35"
"101 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"25"
"101 jaar";"Mannen";"Totaal";"99"
"101 jaar";"Mannen";"Nederland";"91"
"101 jaar";"Mannen";"Europa (exclusief Nederland)";"4"
"101 jaar";"Mannen";"Buiten Europa";"4"
"101 jaar";"Vrouwen";"Totaal";"534"
"101 jaar";"Vrouwen";"Nederland";"482"
"101 jaar";"Vrouwen";"Europa (exclusief Nederland)";"31"
"101 jaar";"Vrouwen";"Buiten Europa";"21"
"102 jaar";"Totaal mannen en vrouwen";"Totaal";"412"
"102 jaar";"Totaal mannen en vrouwen";"Nederland";"374"
"102 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"19"
"102 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"19"
"102 jaar";"Mannen";"Totaal";"61"
"102 jaar";"Mannen";"Nederland";"56"
"102 jaar";"Mannen";"Europa (exclusief Nederland)";"2"
"102 jaar";"Mannen";"Buiten Europa";"3"
"102 jaar";"Vrouwen";"Totaal";"351"
"102 jaar";"Vrouwen";"Nederland";"318"
"102 jaar";"Vrouwen";"Europa (exclusief Nederland)";"17"
"102 jaar";"Vrouwen";"Buiten Europa";"16"
"103 jaar";"Totaal mannen en vrouwen";"Totaal";"178"
"103 jaar";"Totaal mannen en vrouwen";"Nederland";"158"
"103 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"9"
"103 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"11"
"103 jaar";"Mannen";"Totaal";"32"
"103 jaar";"Mannen";"Nederland";"32"
"103 jaar";"Mannen";"Europa (exclusief Nederland)";"0"
"103 jaar";"Mannen";"Buiten Europa";"0"
"103 jaar";"Vrouwen";"Totaal";"146"
"103 jaar";"Vrouwen";"Nederland";"126"
"103 jaar";"Vrouwen";"Europa (exclusief Nederland)";"9"
"103 jaar";"Vrouwen";"Buiten Europa";"11"
"104 jaar";"Totaal mannen en vrouwen";"Totaal";"102"
"104 jaar";"Totaal mannen en vrouwen";"Nederland";"90"
"104 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"4"
"104 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"8"
"104 jaar";"Mannen";"Totaal";"6"
"104 jaar";"Mannen";"Nederland";"3"
"104 jaar";"Mannen";"Europa (exclusief Nederland)";"0"
"104 jaar";"Mannen";"Buiten Europa";"3"
"104 jaar";"Vrouwen";"Totaal";"96"
"104 jaar";"Vrouwen";"Nederland";"87"
"104 jaar";"Vrouwen";"Europa (exclusief Nederland)";"4"
"104 jaar";"Vrouwen";"Buiten Europa";"5"
"105 jaar of ouder";"Totaal mannen en vrouwen";"Totaal";"86"
"105 jaar of ouder";"Totaal mannen en vrouwen";"Nederland";"71"
"105 jaar of ouder";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"5"
"105 jaar of ouder";"Totaal mannen en vrouwen";"Buiten Europa";"10"
"105 jaar of ouder";"Mannen";"Totaal";"6"
"105 jaar of ouder";"Mannen";"Nederland";"5"
"105 jaar of ouder";"Mannen";"Europa (exclusief Nederland)";"0"
"105 jaar of ouder";"Mannen";"Buiten Europa";"1"
"105 jaar of ouder";"Vrouwen";"Totaal";"80"
"105 jaar of ouder";"Vrouwen";"Nederland";"66"
"105 jaar of ouder";"Vrouwen";"Europa (exclusief Nederland)";"5"
"105 jaar of ouder";"Vrouwen";"Buiten Europa";"9"
"Bron: CBS"
